READ SERR 1 2
@crab_ratio_SA70_d49.pco
!
1.16499996 4.99999523E-3 0.991688669 5.57953201E-4
1.17499995 4.99999523E-3 0.991828382 5.59186039E-4
1.18499994 5.00005484E-3 0.992159188 5.60568762E-4
1.19500005 4.99999523E-3 0.992324829 5.61974011E-4
1.20500004 4.99999523E-3 0.992963433 5.63600275E-4
1.21500003 4.99999523E-3 0.993060529 5.6516804E-4
1.22500002 4.99999523E-3 0.993496597 5.66903153E-4
1.23500001 4.99999523E-3 0.994384229 5.68852702E-4
1.245 4.99999523E-3 0.994026542 5.70554286E-4
1.255 4.99999523E-3 0.994613826 5.7262968E-4
1.26499999 4.99999523E-3 0.993294001 5.74267178E-4
1.27499998 4.99999523E-3 0.99402529 5.76602877E-4
1.28499997 4.99999523E-3 0.993744671 5.78763953E-4
1.29499996 4.99999523E-3 0.992567956 5.80758613E-4
1.30499995 4.99999523E-3 0.990739346 5.82629582E-4
1.31500006 5.00005484E-3 0.991320133 5.8525952E-4
1.32500005 4.99999523E-3 0.990522981 5.87507267E-4
1.33500004 4.99999523E-3 0.991241395 5.9019844E-4
1.34500003 4.99999523E-3 0.991192281 5.92623313E-4
1.35500002 4.99999523E-3 0.992663741 5.9546734E-4
1.36500001 4.99999523E-3 0.99184978 5.97591395E-4
1.375 4.99999523E-3 0.992535114 6.00122381E-4
1.38499999 4.99999523E-3 0.991977692 6.02244458E-4
1.39499998 4.99999523E-3 0.993246555 6.04917703E-4
1.40499997 4.99999523E-3 0.994326115 6.07521681E-4
1.41499996 4.99999523E-3 0.993104756 6.09439739E-4
1.42499995 4.99999523E-3 0.993071139 6.11726369E-4
1.43499994 5.00005484E-3 0.993559659 6.14211312E-4
1.44500005 4.99999523E-3 0.995504379 6.17186073E-4
1.45500004 4.99999523E-3 0.995144963 6.19492435E-4
1.46500003 4.99999523E-3 0.995917559 6.22241292E-4
1.47500002 4.99999523E-3 0.993918777 6.242331E-4
1.48500001 4.99999523E-3 0.996497333 6.27833651E-4
1.495 4.99999523E-3 0.995757461 6.30587456E-4
1.505 4.99999523E-3 0.996304095 6.34014315E-4
1.51499999 4.99999523E-3 0.995921314 6.37444668E-4
1.52499998 4.99999523E-3 0.995359659 6.41126535E-4
1.53499997 4.99999523E-3 0.993959367 6.44802873E-4
